epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,16587,0.80178,4.76041,0.62256,0.98149,0.5017,0.29765,0.31639,0.18189,0.21859,0.13044,0.10138,0.04038,1.58811,5.23882,1.59313,1.52672,9.14341e-05,9.14341e-05,9.14341e-05
91,16822.6,0.76319,4.99036,0.53668,0.96822,0.56827,0.27556,0.30337,0.17401,0.28073,0.10746,0.08318,0.03557,1.59709,5.26054,1.61943,1.53582,8.3821e-05,8.3821e-05,8.3821e-05
92,17012.8,0.73795,4.9146,0.48882,0.95556,0.69951,0.2726,0.30938,0.17658,0.37807,0.1083,0.09484,0.04223,1.62701,5.25456,1.65259,1.56276,7.62079e-05,7.62079e-05,7.62079e-05
93,17195,0.73066,4.91592,0.49012,0.95655,0.75283,0.26285,0.30814,0.18006,0.43675,0.13481,0.10845,0.04453,1.59446,5.24159,1.63855,1.54276,6.85948e-05,6.85948e-05,6.85948e-05
94,17375.4,0.71455,4.84293,0.4727,0.9415,0.56693,0.28278,0.31378,0.17692,0.45135,0.10746,0.09354,0.03672,1.59268,5.20683,1.61998,1.52602,6.09817e-05,6.09817e-05,6.09817e-05
95,17542.3,0.72078,4.88423,0.48011,0.95365,0.53583,0.28908,0.30808,0.18166,0.49576,0.11085,0.09794,0.04492,1.60889,5.25737,1.63724,1.54334,5.33686e-05,5.33686e-05,5.33686e-05
96,17705.7,0.71409,4.84986,0.46957,0.93494,0.54347,0.28081,0.30232,0.17642,0.42316,0.13988,0.11515,0.0401,1.62264,5.31773,1.62939,1.57464,4.57555e-05,4.57555e-05,4.57555e-05
97,17885.3,0.70318,4.88696,0.46808,0.93492,0.57239,0.27848,0.31253,0.18137,0.34534,0.16024,0.13717,0.0501,1.58669,5.23055,1.70213,1.53753,3.81424e-05,3.81424e-05,3.81424e-05
98,18090.7,0.69533,4.86378,0.45641,0.9366,0.5304,0.28089,0.30699,0.17936,0.37213,0.087,0.07763,0.03412,1.59893,5.349,1.64704,1.54785,3.05293e-05,3.05293e-05,3.05293e-05
99,18278.2,0.69095,4.85246,0.44576,0.93628,0.68303,0.27607,0.30391,0.17975,0.27021,0.12385,0.0917,0.04096,1.59322,5.26598,1.64561,1.54128,2.29162e-05,2.29162e-05,2.29162e-05
100,18464.6,0.67458,4.8195,0.44306,0.93776,0.58591,0.2832,0.31284,0.18145,0.29701,0.12777,0.09747,0.04577,1.57994,5.27761,1.63981,1.53653,1.53031e-05,1.53031e-05,1.53031e-05
