epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,25175.6,0.00752,0.01562,1.5097,1.23158,0.44586,0.41604,0.4402,0.26898,0.4583,0.42743,0.44937,0.22857,0.01138,0.01823,2.00863,1.68036,0.000322,0.000322,0.000322
115,25399.2,0.00774,0.01597,1.53534,1.25561,0.42606,0.45707,0.44114,0.26426,0.43716,0.46663,0.44339,0.22638,0.0115,0.01853,2.12158,1.67895,0.000316,0.000316,0.000316
116,25622.4,0.00766,0.01561,1.54624,1.24887,0.43431,0.47979,0.44471,0.27173,0.44142,0.49171,0.44811,0.23248,0.01148,0.01819,2.08845,1.70303,0.00031,0.00031,0.00031
117,25843.8,0.00756,0.01554,1.51367,1.22445,0.44584,0.47284,0.4438,0.26001,0.45066,0.47995,0.45252,0.22799,0.01133,0.01842,2.01616,1.67336,0.000304,0.000304,0.000304
118,26065.5,0.00765,0.01554,1.53164,1.25613,0.41373,0.51135,0.44171,0.25955,0.41936,0.51532,0.45026,0.22158,0.01125,0.01822,2.04385,1.66704,0.000298,0.000298,0.000298
119,26284.4,0.00773,0.01595,1.52921,1.25364,0.41362,0.48747,0.43358,0.257,0.42639,0.50127,0.45214,0.22156,0.01137,0.0184,2.05755,1.67152,0.000292,0.000292,0.000292
120,26512.4,0.00769,0.01563,1.55033,1.25877,0.47388,0.40121,0.41224,0.25059,0.48743,0.41314,0.42571,0.21316,0.01129,0.01862,2.06253,1.66635,0.000286,0.000286,0.000286
121,26736,0.00762,0.01543,1.5336,1.25077,0.38986,0.42698,0.41048,0.24456,0.40657,0.44389,0.42882,0.20935,0.01129,0.01845,2.03718,1.66469,0.00028,0.00028,0.00028
122,26960.7,0.00762,0.01563,1.54101,1.23106,0.39199,0.4814,0.40205,0.23641,0.40394,0.49223,0.41807,0.20686,0.01137,0.01851,2.07312,1.67151,0.000274,0.000274,0.000274
123,27183.9,0.00755,0.01556,1.51504,1.22504,0.42061,0.46343,0.41914,0.25041,0.43535,0.47836,0.43466,0.21432,0.01131,0.01839,2.04764,1.66235,0.000268,0.000268,0.000268
124,27408.9,0.00763,0.01556,1.51585,1.22869,0.48094,0.44495,0.44366,0.25878,0.4857,0.48321,0.45764,0.22395,0.01135,0.01833,2.01546,1.67431,0.000262,0.000262,0.000262
125,27627.8,0.00763,0.01561,1.51389,1.2341,0.37782,0.52952,0.43505,0.24678,0.39031,0.54136,0.44591,0.21265,0.01131,0.01818,2.01411,1.67737,0.000256,0.000256,0.000256
126,27847.8,0.00754,0.01561,1.49597,1.23014,0.68218,0.34286,0.42599,0.25216,0.70388,0.3566,0.44062,0.21503,0.01118,0.01861,2.04503,1.66795,0.00025,0.00025,0.00025
127,28069.4,0.0077,0.01575,1.54433,1.24568,0.42615,0.45383,0.4147,0.25084,0.44266,0.46598,0.42831,0.21675,0.0112,0.01832,2.03554,1.66618,0.000244,0.000244,0.000244
128,28290.2,0.00757,0.01561,1.5364,1.23001,0.42831,0.41904,0.42418,0.25427,0.44304,0.43037,0.4345,0.21777,0.01131,0.01859,2.03468,1.67402,0.000238,0.000238,0.000238
